16 05 06		
KT15.85 SN11935		
      12.SPK        Pyroelektrischer Detektor (LiTaO3)		
     160.SPK        9.6 - 11.5		
		
		
		
		
	9.28	11.8
	9.31	0.357667
	9.37	3.002402
	9.43	6.337686
	9.49	10.413117
	9.55	16.306198
	9.61	25.963547
	9.67	36.458515
	9.73	46.351946
	9.79	51.277052
	9.85	54.747181
	9.91	58.067127
	9.97	59.610657
	10.03	59.555529
	10.09	59.521989
	10.15	59.799777
	10.21	60.771412
	10.27	61.802468
	10.33	62.807971
	10.39	63.671959
	10.45	64.496884
	10.51	65.209094
	10.57	65.209094
	10.63	65.924249
	10.69	66.522749
	10.75	67.121249
	10.81	67.451023
	10.87	66.894956
	10.93	66.25033
	10.99	65.625707
	11.05	65.522968
	11.11	65.577193
	11.17	65.622867
	11.23	66.302045
	11.29	67.630746
	11.35	68.972272
	11.41	66.407322
	11.47	50.950737
	11.53	34.240797
	11.59	17.971729
	11.65	10.918391
	11.71	6.826609
	11.77	2.828826
